tensor(2052.6035) tensor(127.1573)
tensor(2110.9690) tensor(123.5881)
tensor(2262.5398) tensor(138.3322)
tensor(2171.2954) tensor(103.4808)
tensor(2019.1848) tensor(79.4474)
tensor(2276.7673) tensor(152.5864)
tensor(2162.5200) tensor(110.8143)
tensor(2232.8218) tensor(112.4760)
tensor(2273.1323) tensor(110.9874)
tensor(2292.2981) tensor(97.1637)
tensor(2264.4355) tensor(153.4608)
tensor(2024.6332) tensor(129.8794)
tensor(1938.4098) tensor(142.0025)
tensor(2100.7883) tensor(130.4385)
tensor(2247.5969) tensor(132.2552)
