tensor(2048.0562) tensor(123.7135)
tensor(2366.5996) tensor(143.8250)
tensor(2181.5972) tensor(95.5043)
tensor(2228.5078) tensor(115.2919)
tensor(2332.9009) tensor(142.3402)
tensor(2523.6709) tensor(122.6778)
tensor(2347.9963) tensor(130.5788)
tensor(2350.8970) tensor(117.3271)
tensor(2316.9966) tensor(158.4310)
tensor(2225.1292) tensor(131.4615)
tensor(2434.6997) tensor(112.3910)
tensor(2429.2056) tensor(146.7091)
tensor(2349.3103) tensor(134.7504)
tensor(2472.6238) tensor(165.3109)
tensor(2230.9731) tensor(143.1892)
tensor(2425.6453) tensor(157.6620)
tensor(2431.5095) tensor(149.7424)
tensor(2440.8794) tensor(144.2590)
tensor(2539.2886) tensor(138.1178)
